Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
covid_olfactory_2,symptoms,,radio,New loss of taste or smell,"1, Yes | 0, No | 98, Don't know| 99, Prefer not to answer",,,,,,,,,,covid_symptomlist,,|https://www.cdc.gov/screening/index.html|CDC COVID-19 Screening
covid_runnynose_2,symptoms,,radio,"Sore throat, congestion or runny nose ","1, Yes | 0, No | 98, Don't know| 99, Prefer not to answer",,,,,,,,,,covid_symptomlist,,|https://www.cdc.gov/screening/index.html|CDC COVID-19 Screening
covid_nausea_2,symptoms,,radio,"Feeling sick to your stomach or vomiting, diarrhea","1, Yes | 0, No | 98, Don't know| 99, Prefer not to answer",,,,,,,,,,covid_symptomlist,,|https://www.cdc.gov/screening/index.html|CDC COVID-19 Screening | modified to 1 week based on feedback from RADx-UP projects
covid_abpain_2,symptoms,,radio,Abdominal Pain,"1, Yes | 0, No | 98, Don't know| 99, Prefer not to answer",,,,,,,,,,covid_symptomlist,,|From NIH communications
covid_skinrash_2,symptoms,,radio,Skin Rash,"1, Yes | 0, No | 98, Don't know| 99, Prefer not to answer",,,,,,,,,,covid_symptomlist,,|From NIH communications
covid_other_2,symptoms,,radio,Other,"1, Yes | 0, No | 98, Don't know| 99, Prefer not to answer",,,,,,,,,,covid_symptomlist,,|https://www.cdc.gov/screening/index.html|CDC COVID-19 Screening
alcohol_date_mdy,alcohol_and_tobacco,,text,Date of Alcohol/Tobacco Use Collection,,MM/DD/YYYY,date_mdy,1/1/1900,,,,,,,,,Note: Maximum expected day = Current day.
lifetime_use_alcohol,alcohol_and_tobacco,Alcohol and Tobacco/Nicotine Use,radio,"In your entire life, have you had at least 1 drink of any kind of alcohol, not counting small tastes or sips?","1, Yes |0, No | 99, Prefer not to answer",,,,,,,,RV,,,,"PX030101|https://www.phenxtoolkit.org/protocols/view/30101||Modified element name to lifetime_use_alcohol, added 99, Prefer not to answer"
alcohol_daysperweek,alcohol_and_tobacco,,radio,How often do you have a drink containing alcohol?,"0, Never|1, Monthly or less|2, 2-4 times a month|3, 2-3 times a week|4, 4 or more times a week|5, Don't know or refuse to answer",,,,,,[lifetime_use_alcohol] = '1',,,,,,|https://www.drugabuse.gov/sites/default/files/audit.pdf| Alcohol Use Disorders Identification Test (AUDIT) |
smoker_cur_stat_2,alcohol_and_tobacco,,radio,Do you now smoke cigarettes?,"4, Every Day |3, Some Days | 2, Rarely| 1, Not at all | 98, Prefer not to answer | 99, Don't know",,,,,,,,,,,,PX30604 |https://www.phenxtoolkit.org/protocols/view/30604|to https://www.cdc.gov/brfss/questionnaires/pdf-ques/2019-BRFSS-Questionnaire-508.pdf C09.01
smoker_number,alcohol_and_tobacco,,text,"If you smoke every day, on average, how many cigarettes per day do you smoke? ",,,number,1,80,,[smoker_cur_stat_2] ='4' ,,,,,,PX30604 |https://www.phenxtoolkit.org/protocols/view/30604|to https://www.cdc.gov/brfss/questionnaires/pdf-ques/2019-BRFSS-Questionnaire-508.pdf C09.01
vaper_cur_stat,alcohol_and_tobacco,,radio,"Do you now use electronic cigarettes every day, some days, rarely, or not at all? ","4, Every Day |3, Some Days | 2, Rarely |1, Not at all | 98, Prefer not to answer | 99, Don't know",,,,,,,,,,,,|https://www.cdc.gov/tobacco/data_statistics/sgr/e-cigarettes/pdfs/2016_SGR_App_2-2_508.pdf)
iden_date_mdy,identity,About you,text,Date of Identity Collection,,MM/DD/YYYY,date_mdy,1/1/1900,,,,,,,,,"Please note that for linkage, first name, last name, zipcode, phone, date of birth and email are required to maximize ability to link.   Note: Maximum expected day = Current day."
first_name,identity,,text,First Name,,,,,,,,,,,,,PX011402
last_name,identity,,text,Last Name,,,,,,,,,,,,,PX011402
current_street,identity,,text,Street Address,,,,,,,,,,,,,PX010801
current_street2,identity,,text,Street Address 2,,,,,,,,,,,,,
current_city,identity,,text,City,,,,,,,,,RH,,,,PX010801
current_state,identity,,dropdown,State or Territory,"AL, Alabama | AK, Alaska | AZ, Arizona | AR, Arkansas | CA, California | CO, Colorado | CT, Connecticut | DE, Delaware | DC, District of Columbia(DC) | FL, Florida | GA, Georgia | HI, Hawaii | ID, Idaho | IL, Illinois | IN, Indiana | IA, Iowa | KS, Kansas | KY, Kentucky | LA, Louisiana | ME, Maine | MD, Maryland | MA, Massachusetts | MI, Michigan | MN, Minnesota | MS, Mississippi | MO, Missouri | MT, Montana | NE, Nebraska | NV, Nevada | NH, New Hampshire | NJ, New Jersey | NM, New Mexico | NY, New York | NC, North Carolina | ND, North Dakota | OH, Ohio | OK, Oklahoma | OR, Oregon | PA, Pennsylvania | RI, Rhode Island | SC, South Carolina | SD, South Dakota | TN, Tennessee | TX, Texas | UT, Utah | VT, Vermont | VA, Virginia | WA, Washington | WV, West Virginia | WI, Wisconsin | WY, Wyoming | AMS, American Somoa | GUAM, GUAM | NMI, Northern Mariana Islands | PR, Puerto Rico | USVI, US Virgin Islands",,autocomplete,,,,,,,,,,PX010801
mobile_phone,identity,,text,Mobile Phone,,,phone,,,,,,,,,,
home_phone,identity,,text,Home Phone,,,phone,,,,,,,,,,
other_phone,identity,,text,Other Phone,,,phone,,,,,,,,,,
personal_email,identity,,text,Personal Email,,,email,,,,,,,,,,
other_email,identity,,text,Other Email,,,email,,,,,,,,,,
preferred_contact_method_2,identity,,radio,Preferred Method of Contact,"1, Mobile phone|2,Home phone|3,Other phone|4, Personal email|5,Other email| 99, Prefer not to answer",,,,,,,,,,,,
dob_mdy,identity,,text,Date of Birth,,MM/DD/YYYY,date_mdy,1/1/1900,,,,,,,,,Census @HIDEBUTTON Note: Maximum expected day = Current day. Only one of age_years or dob_mdy needs to be collected for tier 1 compliance.
