Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
cc_depression_2,medical_history,,radio,Depression,"1, Yes | 0, No| 99, Prefer not to answer",,,,,,,,RH,,,,JHU C4WARD|https://www.phenxtoolkit.org/toolkit_content/PDF/JHU_C4WARD_Health.pdf|C3PNO from JHU Community Survey
cc_asud_2,medical_history,,radio,Alcohol or substance use disorder,"1, Yes | 0, No| 99, Prefer not to answer",,,,,,,,RH,,,,JHU C4WARD|https://www.phenxtoolkit.org/toolkit_content/PDF/JHU_C4WARD_Health.pdf|C3PNO from JHU Community Survey
cc_intrav_2,medical_history,,radio,Intravenous drug use,"1, Yes | 0, No| 99, Prefer not to answer",,,,,,,,RH,,,,|||Recommendation from RADx-UP projects
cc_othermh_2,medical_history,,radio,Other mental health disorder,"1, Yes | 0, No| 99, Prefer not to answer",,,,,,,,RH,,,,JHU C4WARD|https://www.phenxtoolkit.org/toolkit_content/PDF/JHU_C4WARD_Health.pdf|C3PNO from JHU Community Survey
cc_otherchroniccond_2,medical_history,,radio,Other chronic condition,"1, Yes | 0, No| 99, Prefer not to answer",,,,,,,,RH,,,,JHU C4WARD|https://www.phenxtoolkit.org/toolkit_content/PDF/JHU_C4WARD_Health.pdf|C3PNO from JHU Community Survey
hlthstat_date_mdy,health_status,,text,Date of Health Status Collection,,MM/DD/YYYY,date_mdy,1/1/1900,,,,,,,,,Note: Maximum expected day = Current day.
self_reported_height_coded,health_status,Height,radio,"How tall are you without shoes? 

Please choose the units you would like to use for height","1, Feet and inches | 2, Meters and centimeters | 98, Don't know | 99, Prefer not to answer",,,,,,,,,,,,PX020704|https://www.phenxtoolkit.org/protocols/view/20704?origin=search|2007-2008 National Health and Nutritional Examination Survey (NHANES) Weight History Questionnaire
self_reported_height_feet,health_status,,text,Feet,,,integer,0,10,,"[self_reported_height_coded] = ""1""",,,,,,PX020704|https://www.phenxtoolkit.org/protocols/view/20704?origin=search|2007-2008 National Health and Nutritional Examination Survey (NHANES) Weight History Questionnaire. Only self_reported_height_feet and self_reported_height_inches OR self_reported_height_meters and self_reported_height_centimeters needs to be collected.
self_reported_height_inches,health_status,,text,Inches,,,number,0,11,,"[self_reported_height_coded] = ""1""",,,,,,PX020704|https://www.phenxtoolkit.org/protocols/view/20704?origin=search|2007-2008 National Health and Nutritional Examination Survey (NHANES) Weight History Questionnaire. Only self_reported_height_feet and self_reported_height_inches OR self_reported_height_meters and self_reported_height_centimeters needs to be collected.
self_reported_height_meters,health_status,,text,Meters,,,integer,0,3,,"[self_reported_height_coded] = ""2""",,,,,,PX020704|https://www.phenxtoolkit.org/protocols/view/20704?origin=search|2007-2008 National Health and Nutritional Examination Survey (NHANES) Weight History Questionnaire. Only self_reported_height_feet and self_reported_height_inches OR self_reported_height_meters and self_reported_height_centimeters needs to be collected.
self_reported_height_centimeters,health_status,,text,Centimeters,,,number,0,99,,"[self_reported_height_coded] = ""2""",,,,,,PX020704|https://www.phenxtoolkit.org/protocols/view/20704?origin=search|2007-2008 National Health and Nutritional Examination Survey (NHANES) Weight History Questionnaire. Only self_reported_height_feet and self_reported_height_inches OR self_reported_height_meters and self_reported_height_centimeters needs to be collected.
self_reported_weight_units_2,health_status,Weight,radio,Please choose the units you would like to use for weight,"1, Kilograms | 2, Pounds| 99, Prefer not to answer",,,,,,,,,,,,PX021502|https://www.phenxtoolkit.org/protocols/view/21502?origin=search||2007-2008 National Health and Nutrition Examination Survey (NHANES) Anthropometry Procedures Manual
self_reported_weight_kgs,health_status,,text,"How much do you weigh without clothes or shoes? 

If you are currently pregnant, how much did you weigh before your pregnancy?",,,number,0,635,,"[self_reported_weight_units_2] = ""1""",,,,,,PX021502|https://www.phenxtoolkit.org/protocols/view/21502?origin=search||2007-2008 National Health and Nutrition Examination Survey (NHANES) Anthropometry Procedures Manual. Only self_reported_weight_kgs or self_reported_weight_lbs needs to be collected.
self_reported_weight_lbs,health_status,,text,"How much do you weigh without clothes or shoes? 

If you are currently pregnant, how much did you weigh before your pregnancy?",,,number,0,1400,,"[self_reported_weight_units_2] = ""2""",,,,,,PX021502|https://www.phenxtoolkit.org/protocols/view/21502?origin=search||2007-2008 National Health and Nutrition Examination Survey (NHANES) Anthropometry Procedures Manual. Only self_reported_weight_kgs or self_reported_weight_lbs needs to be collected.
self_rpt_hlth_stat_asses,health_status,Self-reported Health,radio,"Would you say your health in general is excellent, very good, good, fair, or poor?","1, Excellent | 2, Very good | 3, Good | 4, Fair | 5, Poor | 99, Prefer not to answer | 98, Don't know",,,,,,,,,,,,PX770101. This question 'self_reported_health_status_assessment' can also be submitted with the variable name synonym 'self_rpt_hlth_stat_asses'.
