Id,Label,Description,Section,Terms,Cardinality,Datatype,Pattern,Unit,Enumeration,MissingValueCodes,Notes,Provenance,SeeAlso
dht_thalassemia,Thalassemia,"The `dht_thalassemia` data element records response to the prompt, _""Thalassemia""_.

Values for this data element are integers that are restricted to the list of 4 permissible integer values.

",Medical History,,single,integer,,,"""0""=[No]|""1""=[Yes]|""98""=[Don’t know]|""99""=[Prefer not to answer]",,,RADx-DHT DCC,
dht_t1d,Type 1 Diabetes,"The `dht_t1d` data element records response to the prompt, _""Type 1 Diabetes""_.

Values for this data element are integers that are restricted to the list of 4 permissible integer values.

",Medical History,,single,integer,,,"""0""=[No]|""1""=[Yes]|""98""=[Don’t know]|""99""=[Prefer not to answer]",,,RADx-DHT DCC,
dht_t2dm,Type 2 Diabetes,"The `dht_t2dm` data element records response to the prompt, _""Type 2 Diabetes""_.

Values for this data element are integers that are restricted to the list of 4 permissible integer values.

",Medical History,,single,integer,,,"""0""=[No]|""1""=[Yes]|""98""=[Don’t know]|""99""=[Prefer not to answer]",,,RADx-DHT DCC,
dht_cough,Cough,"The `dht_cough` data element records response to the prompt, _""Cough""_.

Values for this data element are integers that are restricted to the list of 4 permissible integer values.

",Symptoms,,single,integer,,,"""0""=[No]|""1""=[Yes]|""98""=[Don’t know]|""99""=[Prefer not to answer]",,,RADx-DHT DCC,
dht_fever_chills,"Fever, feeling hot/feverish, or having chills","The `dht_fever_chills` data element records response to the prompt, _""Fever, feeling hot/feverish, or having chills""_.

Values for this data element are integers that are restricted to the list of 4 permissible integer values.

",Symptoms,,single,integer,,,"""0""=[No]|""1""=[Yes]|""98""=[Don’t know]|""99""=[Prefer not to answer]",,,RADx-DHT DCC,
dht_diff_breath,Shortness of breath or difficulty breathing,"The `dht_diff_breath` data element records response to the prompt, _""Shortness of breath or difficulty breathing""_.

Values for this data element are integers that are restricted to the list of 4 permissible integer values.

",Symptoms,,single,integer,,,"""0""=[No]|""1""=[Yes]|""98""=[Don’t know]|""99""=[Prefer not to answer]",,,RADx-DHT DCC,
dht_headache,Headache,"The `dht_headache` data element records response to the prompt, _""Headache""_.

Values for this data element are integers that are restricted to the list of 4 permissible integer values.

",Symptoms,,single,integer,,,"""0""=[No]|""1""=[Yes]|""98""=[Don’t know]|""99""=[Prefer not to answer]",,,RADx-DHT DCC,
dht_body_pain,"Muscle, body, or joint aches (not due to exercise)","The `dht_body_pain` data element records response to the prompt, _""Muscle, body, or joint aches (not due to exercise)""_.

Values for this data element are integers that are restricted to the list of 4 permissible integer values.

",Symptoms,,single,integer,,,"""0""=[No]|""1""=[Yes]|""98""=[Don’t know]|""99""=[Prefer not to answer]",,,RADx-DHT DCC,
dht_olfactory,New loss of taste or smell,"The `dht_olfactory` data element records response to the prompt, _""New loss of taste or smell""_.

Values for this data element are integers that are restricted to the list of 4 permissible integer values.

",Symptoms,,single,integer,,,"""0""=[No]|""1""=[Yes]|""98""=[Don’t know]|""99""=[Prefer not to answer]",,,RADx-DHT DCC,
dht_fatigue,Fatigue (more than normal),"The `dht_fatigue` data element records response to the prompt, _""Fatigue (more than normal)""_.

Values for this data element are integers that are restricted to the list of 4 permissible integer values.

",Symptoms,,single,integer,,,"""0""=[No]|""1""=[Yes]|""98""=[Don’t know]|""99""=[Prefer not to answer]",,,RADx-DHT DCC,
dht_nausea_vomiting_diarrhea,"Nausea, vomiting, or diarrhea","The `dht_nausea_vomiting_diarrhea` data element records response to the prompt, _""Nausea, vomiting, or diarrhea""_.

Values for this data element are integers that are restricted to the list of 4 permissible integer values.

",Symptoms,,single,integer,,,"""0""=[No]|""1""=[Yes]|""98""=[Don’t know]|""99""=[Prefer not to answer]",,,RADx-DHT DCC,
dht_abdom_pain,Stomach or abdominal pain,"The `dht_abdom_pain` data element records response to the prompt, _""Stomach or abdominal pain""_.

Values for this data element are integers that are restricted to the list of 4 permissible integer values.

",Symptoms,,single,integer,,,"""0""=[No]|""1""=[Yes]|""98""=[Don’t know]|""99""=[Prefer not to answer]",,,RADx-DHT DCC,
dht_skin_rash,Skin rash,"The `dht_skin_rash` data element records response to the prompt, _""Skin rash""_.

Values for this data element are integers that are restricted to the list of 4 permissible integer values.

",Symptoms,,single,integer,,,"""0""=[No]|""1""=[Yes]|""98""=[Don’t know]|""99""=[Prefer not to answer]",,,RADx-DHT DCC,
dht_conjunctivitis,Pink eye or conjunctivitis,"The `dht_conjunctivitis` data element records response to the prompt, _""Pink eye or conjunctivitis""_.

Values for this data element are integers that are restricted to the list of 4 permissible integer values.

",Symptoms,,single,integer,,,"""0""=[No]|""1""=[Yes]|""98""=[Don’t know]|""99""=[Prefer not to answer]",,,RADx-DHT DCC,
dht_congestion_sorethroat_runnynose,"Congestion, runny nose, sore throat","The `dht_congestion_sorethroat_runnynose` data element records response to the prompt, _""Congestion, runny nose, sore throat""_.

Values for this data element are integers that are restricted to the list of 4 permissible integer values.

",Symptoms,,single,integer,,,"""0""=[No]|""1""=[Yes]|""98""=[Don’t know]|""99""=[Prefer not to answer]",,,RADx-DHT DCC,
dht_red_eyes,Red or painful eyes,"The `dht_red_eyes` data element records response to the prompt, _""Red or painful eyes""_.

Values for this data element are integers that are restricted to the list of 4 permissible integer values.

",Symptoms,,single,integer,,,"""0""=[No]|""1""=[Yes]|""98""=[Don’t know]|""99""=[Prefer not to answer]",,,RADx-DHT DCC,
dht_high_temp,A temperature greater than 100.4°F,"The `dht_high_temp` data element records response to the prompt, _""A temperature greater than 100.4°F""_.

Values for this data element are integers that are restricted to the list of 4 permissible integer values.

",Symptoms,,single,integer,,,"""0""=[No]|""1""=[Yes]|""98""=[Don’t know]|""99""=[Prefer not to answer]",,,RADx-DHT DCC,
dht_other_symp,Other ,"The `dht_other_symp` data element records response to the prompt, _""Other ""_.

Values for this data element are integers that are restricted to the list of 4 permissible integer values.

",Symptoms,,single,integer,,,"""0""=[No]|""1""=[Yes]|""98""=[Don’t know]|""99""=[Prefer not to answer]",,,RADx-DHT DCC,
dht_no_symp,None of the above,"The `dht_no_symp` data element records response to the prompt, _""None of the above""_.

Values for this data element are integers that are restricted to the list of 4 permissible integer values.

",Symptoms,,single,integer,,,"""0""=[No]|""1""=[Yes]|""98""=[Don’t know]|""99""=[Prefer not to answer]",,,RADx-DHT DCC,
dht_wheezing,Wheezing,"The `dht_wheezing` data element records response to the prompt, _""Wheezing""_.

Values for this data element are integers that are restricted to the list of 4 permissible integer values.

",Symptoms,,single,integer,,,"""0""=[No]|""1""=[Yes]|""98""=[Don’t know]|""99""=[Prefer not to answer]",,,RADx-DHT DCC,
dht_blue_lips,Bluish lips or face,"The `dht_blue_lips` data element records response to the prompt, _""Bluish lips or face""_.

Values for this data element are integers that are restricted to the list of 4 permissible integer values.

",Symptoms,,single,integer,,,"""0""=[No]|""1""=[Yes]|""98""=[Don’t know]|""99""=[Prefer not to answer]",,,RADx-DHT DCC,
dht_balance,Loss of balance,"The `dht_balance` data element records response to the prompt, _""Loss of balance""_.

Values for this data element are integers that are restricted to the list of 4 permissible integer values.

",Symptoms,,single,integer,,,"""0""=[No]|""1""=[Yes]|""98""=[Don’t know]|""99""=[Prefer not to answer]",,,RADx-DHT DCC,
dht_slurred_peech,Slurred speech,"The `dht_slurred_peech` data element records response to the prompt, _""Slurred speech""_.

Values for this data element are integers that are restricted to the list of 4 permissible integer values.

",Symptoms,,single,integer,,,"""0""=[No]|""1""=[Yes]|""98""=[Don’t know]|""99""=[Prefer not to answer]",,,RADx-DHT DCC,
dht_confusion,New confusion,"The `dht_confusion` data element records response to the prompt, _""New confusion""_.

Values for this data element are integers that are restricted to the list of 4 permissible integer values.

",Symptoms,,single,integer,,,"""0""=[No]|""1""=[Yes]|""98""=[Don’t know]|""99""=[Prefer not to answer]",,,RADx-DHT DCC,
dht_neuro_shakes,Unusual shivering or shaking ,"The `dht_neuro_shakes` data element records response to the prompt, _""Unusual shivering or shaking ""_.

Values for this data element are integers that are restricted to the list of 4 permissible integer values.

",Symptoms,,single,integer,,,"""0""=[No]|""1""=[Yes]|""98""=[Don’t know]|""99""=[Prefer not to answer]",,,RADx-DHT DCC,
dht_numb_extremities,Tingling or numbness or swelling of hands and feet,"The `dht_numb_extremities` data element records response to the prompt, _""Tingling or numbness or swelling of hands and feet""_.

Values for this data element are integers that are restricted to the list of 4 permissible integer values.

",Symptoms,,single,integer,,,"""0""=[No]|""1""=[Yes]|""98""=[Don’t know]|""99""=[Prefer not to answer]",,,RADx-DHT DCC,
dht_sweating,Excessive sweating,"The `dht_sweating` data element records response to the prompt, _""Excessive sweating""_.

Values for this data element are integers that are restricted to the list of 4 permissible integer values.

",Symptoms,,single,integer,,,"""0""=[No]|""1""=[Yes]|""98""=[Don’t know]|""99""=[Prefer not to answer]",,,RADx-DHT DCC,
dht_seizures,Seizures,"The `dht_seizures` data element records response to the prompt, _""Seizures""_.

Values for this data element are integers that are restricted to the list of 4 permissible integer values.

",Symptoms,,single,integer,,,"""0""=[No]|""1""=[Yes]|""98""=[Don’t know]|""99""=[Prefer not to answer]",,,RADx-DHT DCC,
dht_rash_toes,Red or purple rash or lesions on toes,"The `dht_rash_toes` data element records response to the prompt, _""Red or purple rash or lesions on toes""_.

Values for this data element are integers that are restricted to the list of 4 permissible integer values.

",Symptoms,,single,integer,,,"""0""=[No]|""1""=[Yes]|""98""=[Don’t know]|""99""=[Prefer not to answer]",,,RADx-DHT DCC,
dht_appetite,Change in or loss of appetite,"The `dht_appetite` data element records response to the prompt, _""Change in or loss of appetite""_.

Values for this data element are integers that are restricted to the list of 4 permissible integer values.

",Symptoms,,single,integer,,,"""0""=[No]|""1""=[Yes]|""98""=[Don’t know]|""99""=[Prefer not to answer]",,,RADx-DHT DCC,
dht_health_status,Self-report health status,"The `dht_health_status` data element records response to the prompt, _""Self-report health status""_.

Values for this data element are integers that are restricted to the list of 7 permissible integer values.

",Health Status,,single,integer,,,"""1""=[Excellent]|""2""=[Very Good]|""3""=[Good]|""4""=[Fair]|""5""=[Poor]|""98""=[Don't know]|""99""=[Prefer not to state]",,,RADx-DHT DCC,
dht_height,What is your height in inches?,"The `dht_height` data element records response to the prompt, _""What is your height in inches?""_.

Values for this data element are strings that are restricted to the list of 1 permissible string values.

",Health Status,,single,string,,,"""integer""=[integer]",,,RADx-DHT DCC,
dht_weight,What is your weight in pounds?,"The `dht_weight` data element records response to the prompt, _""What is your weight in pounds?""_.

Values for this data element are strings that are restricted to the list of 1 permissible string values.

",Health Status,,single,string,,,"""integer""=[integer]",,,RADx-DHT DCC,
dht_height_category,Approximately what is your height?,"The `dht_height_category` data element records response to the prompt, _""Approximately what is your height?""_.

Values for this data element are integers that are restricted to the list of 3 permissible integer values.

",Health Status Categorical,,single,integer,,,"""1""=[5'1"" - 5'6""]|""2""=[5'7""-5'11""]|""3""=[6' and over]",,,RADx-DHT DCC,
dht_weight_category,Approximately what is your weight?,"The `dht_weight_category` data element records response to the prompt, _""Approximately what is your weight?""_.

Values for this data element are integers that are restricted to the list of 3 permissible integer values.

",Health Status Categorical,,single,integer,,,"""1""=[100-150]|""2""=[151-200]|""3""=[over 200]",,,RADx-DHT DCC,
